,filenames,labels
31,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-50.jpg,Acne and Rosacea Photos
32,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-87.jpg,Acne and Rosacea Photos
33,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07RosaceaOK0828062.jpg,Acne and Rosacea Photos
34,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-2.jpg,Acne and Rosacea Photos
35,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-11.jpg,Acne and Rosacea Photos
36,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-88.jpg,Acne and Rosacea Photos
37,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-5.jpg,Acne and Rosacea Photos
38,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-91.jpg,Acne and Rosacea Photos
39,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-11.jpg,Acne and Rosacea Photos
40,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-54.jpg,Acne and Rosacea Photos
41,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-10.jpg,Acne and Rosacea Photos
42,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-151.jpg,Acne and Rosacea Photos
43,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-1.jpg,Acne and Rosacea Photos
44,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-16.jpg,Acne and Rosacea Photos
45,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-4.jpg,Acne and Rosacea Photos
46,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07SteroidRosacea43.jpg,Acne and Rosacea Photos
47,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/Comedones-Ears.jpg,Acne and Rosacea Photos
48,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07RosaceaMilia0120.jpg,Acne and Rosacea Photos
49,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-118.jpg,Acne and Rosacea Photos
50,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-109.jpg,Acne and Rosacea Photos
51,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-20.jpg,Acne and Rosacea Photos
52,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-120.jpg,Acne and Rosacea Photos
53,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07rosacea010206OK.jpg,Acne and Rosacea Photos
54,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-86.jpg,Acne and Rosacea Photos
55,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-30.jpg,Acne and Rosacea Photos
56,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-121.jpg,Acne and Rosacea Photos
57,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07RosaceaK02164.jpg,Acne and Rosacea Photos
58,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-15.jpg,Acne and Rosacea Photos
59,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-149.jpg,Acne and Rosacea Photos
60,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/23VesselsNose.jpg,Acne and Rosacea Photos
61,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-141.jpg,Acne and Rosacea Photos
62,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07Rhinophyma1.jpg,Acne and Rosacea Photos
63,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-43.jpg,Acne and Rosacea Photos
64,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07rhnophymas032105.jpg,Acne and Rosacea Photos
65,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-32.jpg,Acne and Rosacea Photos
66,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-9.jpg,Acne and Rosacea Photos
67,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07rhnophymas0321051.jpg,Acne and Rosacea Photos
68,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-134.jpg,Acne and Rosacea Photos
69,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-29.jpg,Acne and Rosacea Photos
70,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-111.jpg,Acne and Rosacea Photos
71,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-6.jpg,Acne and Rosacea Photos
72,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-10.jpg,Acne and Rosacea Photos
73,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-102.jpg,Acne and Rosacea Photos
74,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-12.jpg,Acne and Rosacea Photos
75,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07RosaceaK0216.jpg,Acne and Rosacea Photos
76,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07Acne081101.jpg,Acne and Rosacea Photos
77,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-14.jpg,Acne and Rosacea Photos
78,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07RosaceaFulFAce.jpg,Acne and Rosacea Photos
79,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-8.jpg,Acne and Rosacea Photos
80,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-132.jpg,Acne and Rosacea Photos
81,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-150.jpg,Acne and Rosacea Photos
82,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07RosaceaK02166.jpg,Acne and Rosacea Photos
83,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-7.jpg,Acne and Rosacea Photos
84,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07SteroidPerioral.jpg,Acne and Rosacea Photos
85,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-31.jpg,Acne and Rosacea Photos
86,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-28.jpg,Acne and Rosacea Photos
87,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-144.jpg,Acne and Rosacea Photos
88,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-Closed-Comedo.jpg,Acne and Rosacea Photos
89,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-16.jpg,Acne and Rosacea Photos
90,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07PerioralDermEye.jpg,Acne and Rosacea Photos
91,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-47.jpg,Acne and Rosacea Photos
92,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-92.jpg,Acne and Rosacea Photos
93,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-3.jpg,Acne and Rosacea Photos
94,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-135.jpg,Acne and Rosacea Photos
95,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-100.jpg,Acne and Rosacea Photos
96,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07RosaceaK02163.jpg,Acne and Rosacea Photos
97,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/Sebaceous-glands-labia-1.jpg,Acne and Rosacea Photos
98,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-117.jpg,Acne and Rosacea Photos
99,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-39.jpg,Acne and Rosacea Photos
100,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-40.jpg,Acne and Rosacea Photos
101,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-36.jpg,Acne and Rosacea Photos
102,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-13.jpg,Acne and Rosacea Photos
103,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-26.jpg,Acne and Rosacea Photos
104,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-003.jpg,Acne and Rosacea Photos
105,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-14.jpg,Acne and Rosacea Photos
106,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-90.jpg,Acne and Rosacea Photos
107,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-130.jpg,Acne and Rosacea Photos
108,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-142.jpg,Acne and Rosacea Photos
109,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-15.jpg,Acne and Rosacea Photos
110,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07AcnePittedScars1.jpg,Acne and Rosacea Photos
111,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-101.jpg,Acne and Rosacea Photos
112,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-6.jpg,Acne and Rosacea Photos
113,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-18.jpg,Acne and Rosacea Photos
114,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-2.jpg,Acne and Rosacea Photos
115,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-129.jpg,Acne and Rosacea Photos
116,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-115.jpg,Acne and Rosacea Photos
117,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-143.jpg,Acne and Rosacea Photos
118,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07RosaceaForehead.jpg,Acne and Rosacea Photos
119,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-31.jpg,Acne and Rosacea Photos
120,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-133.jpg,Acne and Rosacea Photos
121,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-19.jpg,Acne and Rosacea Photos
122,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07Rhinophymaq.jpg,Acne and Rosacea Photos
123,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-113.jpg,Acne and Rosacea Photos
124,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-106.jpg,Acne and Rosacea Photos
125,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-140.jpg,Acne and Rosacea Photos
126,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-29.jpg,Acne and Rosacea Photos
127,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-116.jpg,Acne and Rosacea Photos
128,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-119.jpg,Acne and Rosacea Photos
129,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-49.jpg,Acne and Rosacea Photos
130,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07PerioralDermq.jpg,Acne and Rosacea Photos
131,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-19.jpg,Acne and Rosacea Photos
132,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-5.jpg,Acne and Rosacea Photos
133,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-53.jpg,Acne and Rosacea Photos
134,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-25.jpg,Acne and Rosacea Photos
135,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-57.jpg,Acne and Rosacea Photos
136,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-35.jpg,Acne and Rosacea Photos
137,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-39.jpg,Acne and Rosacea Photos
138,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-27.jpg,Acne and Rosacea Photos
139,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-61.jpg,Acne and Rosacea Photos
140,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-34.jpg,Acne and Rosacea Photos
141,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/ComedonesEars-1.jpg,Acne and Rosacea Photos
142,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-18.jpg,Acne and Rosacea Photos
143,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07PerioralSteroid1.jpg,Acne and Rosacea Photos
144,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-103.jpg,Acne and Rosacea Photos
145,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-110.jpg,Acne and Rosacea Photos
146,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-60.jpg,Acne and Rosacea Photos
147,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-22.jpg,Acne and Rosacea Photos
148,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07PerioralDermNose.jpg,Acne and Rosacea Photos
149,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-42.jpg,Acne and Rosacea Photos
150,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-137.jpg,Acne and Rosacea Photos
151,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07Rhinophyma1a.jpg,Acne and Rosacea Photos
152,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-27.jpg,Acne and Rosacea Photos
153,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07RosaceaK02161.jpg,Acne and Rosacea Photos
154,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-126.jpg,Acne and Rosacea Photos
155,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-125.jpg,Acne and Rosacea Photos
156,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/08PerioralDerm1.jpg,Acne and Rosacea Photos
157,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-36.jpg,Acne and Rosacea Photos
158,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/23VesselsNose1.jpg,Acne and Rosacea Photos
159,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-148.jpg,Acne and Rosacea Photos
160,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/Sebaceous-glands-Areola-2.jpg,Acne and Rosacea Photos
161,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-9.jpg,Acne and Rosacea Photos
162,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-1.jpg,Acne and Rosacea Photos
163,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07sebDerem110105.jpg,Acne and Rosacea Photos
164,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-84.jpg,Acne and Rosacea Photos
165,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07RosaceaK02162.jpg,Acne and Rosacea Photos
166,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-13.jpg,Acne and Rosacea Photos
167,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-85.jpg,Acne and Rosacea Photos
168,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-128.jpg,Acne and Rosacea Photos
169,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-59.jpg,Acne and Rosacea Photos
170,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-34.jpg,Acne and Rosacea Photos
171,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-20.jpg,Acne and Rosacea Photos
172,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-145.jpg,Acne and Rosacea Photos
173,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-138.jpg,Acne and Rosacea Photos
174,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/Hidradenitis-Suppurativa-Areola-2.jpg,Acne and Rosacea Photos
175,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07RosaceaOK082806.jpg,Acne and Rosacea Photos
176,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-17.jpg,Acne and Rosacea Photos
177,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07RosaceaTel011204.jpg,Acne and Rosacea Photos
178,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-002.jpg,Acne and Rosacea Photos
179,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-124.jpg,Acne and Rosacea Photos
180,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-17.jpg,Acne and Rosacea Photos
181,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-40.jpg,Acne and Rosacea Photos
182,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/Sebaceous-glands-Areola-3.jpg,Acne and Rosacea Photos
183,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-21.jpg,Acne and Rosacea Photos
184,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-24.jpg,Acne and Rosacea Photos
185,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/Sebaceous-glands-Areola-1.jpg,Acne and Rosacea Photos
186,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-12.jpg,Acne and Rosacea Photos
187,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-104.jpg,Acne and Rosacea Photos
188,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07SteroidRosGlab.jpg,Acne and Rosacea Photos
189,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-139.jpg,Acne and Rosacea Photos
190,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-3.jpg,Acne and Rosacea Photos
191,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-44.jpg,Acne and Rosacea Photos
192,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-114.jpg,Acne and Rosacea Photos
193,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-51.jpg,Acne and Rosacea Photos
194,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07sebDerem1101051.jpg,Acne and Rosacea Photos
195,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-24.jpg,Acne and Rosacea Photos
196,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-107.jpg,Acne and Rosacea Photos
197,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-105.jpg,Acne and Rosacea Photos
198,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-28.jpg,Acne and Rosacea Photos
199,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-25.jpg,Acne and Rosacea Photos
200,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-38.jpg,Acne and Rosacea Photos
201,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-21.jpg,Acne and Rosacea Photos
